DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7910126;1;1;1;211.63378638;2
7910126;1;1;1;211.63378638;2
7910140;1;1;1;107.84788877;3
7910143;1;1;1;138.4946272;3
7910143;2;1;2;138.4946272;4
7910143;3;1;3;138.4946272;5
7910143;1;1;1;138.4946272;3
7910143;2;1;2;138.4946272;4
7910143;3;1;3;138.4946272;5
7910144;1;1;1;167.70899262;6
7910144;1;1;1;167.70899262;6
7910145;1;1;1;232.37878961;3
7910145;1;1;1;232.37878961;3
7910171;1;1;1;64.918774321;2
7910171;2;1;2;64.918774321;3
7910171;1;1;1;64.918774321;2
7910171;2;1;2;64.918774321;3
7910172;1;1;1;80.866679772;2
7910172;2;1;2;80.866679772;3
7910172;1;1;1;80.866679772;2
7910172;2;1;2;80.866679772;3
7910193;1;1;1;14.730082526;2
7910193;1;1;1;14.730082526;2
7910199;1;1;1;20.128821916;2
7910199;1;1;1;20.128821916;2
7910207;1;1;1;18.239891717;4
7910207;1;1;1;18.239891717;4
7910208;1;1;1;266.53083528;5
7910208;1;1;1;266.53083528;5
7910212;1;1;1;244.35443481;2
7910212;1;1;1;244.35443481;2
7910214;1;1;1;13.127932069;1
7910214;1;1;1;13.127932069;1
7910225;1;1;1;40.931910612;3
7910225;1;1;1;40.931910612;3
7910270;1;1;1;42.654115657;3
7910270;2;1;2;42.654115657;4
7910270;1;1;1;42.654115657;3
7910270;2;1;2;42.654115657;4
7910299;1;1;1;134.53643691;5
7910299;2;1;2;134.53643691;6
7910299;1;1;1;134.53643691;5
7910299;2;1;2;134.53643691;6
7910302;1;1;1;122.50257657;3
7910302;2;1;2;122.50257657;4
7910302;3;1;3;122.50257657;5
7910302;4;1;4;122.50257657;6
7910302;1;1;1;122.50257657;3
7910302;2;1;2;122.50257657;4
7910302;3;1;3;122.50257657;5
7910302;4;1;4;122.50257657;6
7910307;1;1;1;91.934809252;1
7910307;1;1;1;91.934809252;1
7910310;1;1;1;30.836439281;3
7910310;1;1;1;30.836439281;3
7910319;1;1;1;165.80005392;1
7910319;1;1;1;165.80005392;1
7910328;1;1;1;189.81816222;4
7910328;1;1;1;189.81816222;4
7910351;1;1;1;75.888252455;2
7910351;1;1;1;75.888252455;2
7910361;1;1;1;202.3641465;2
7910361;1;1;1;202.3641465;2
7910362;1;1;1;417.44770906;3
7910362;2;1;2;417.44770906;4
7910362;3;1;3;417.44770906;6
7910362;4;1;4;417.44770906;7
7910362;1;1;1;417.44770906;3
7910362;2;1;2;417.44770906;4
7910362;3;1;3;417.44770906;6
7910362;4;1;4;417.44770906;7
7910378;1;1;1;62.842436093;3
7910378;1;1;1;62.842436093;3
7910401;1;1;1;206.43767061;2
7910401;2;1;2;206.43767061;3
7910401;1;1;1;206.43767061;2
7910401;2;1;2;206.43767061;3
7910405;1;1;1;470.55010018;3
7910405;2;1;2;470.55010018;4
7910405;3;1;3;470.55010018;5
7910405;1;1;1;470.55010018;3
7910405;2;1;2;470.55010018;4
7910405;3;1;3;470.55010018;5
7910415;1;1;1;407.089181;2
7910415;2;1;2;407.089181;3
